VELUX CODE,CARTERS CODE
KIX 300,RFVXKIX300
KLA 300,RFVXKLA300
KLF 200,RFVXKLF200
ZCT 300,RFVXZCT300
ZTR 0K14,RFVXZTR0K140124
ZZZ 199 2222,RFVXFCM2222AT
ZZZ 199 2230,RFVXZZZ1992230
ZZZ 199 2234,RFVXZZZ1992234
ZZZ 199 2246,RFVXZZZ1992246
ZZZ 199 2270,RFVXZZZ1992270
ZZZ 199 3030,RFVXZZZ1993030
ZZZ 199 3046,RFVXZZZ1993046
ZZZ 199 3434,RFVXZZZ1993434
ZZZ 199 3446,RFVXZZZ1993436
ZZZ 199 4622,RFVXZZZ1994622
ZZZ 199 4646,RFVXZZZ1994646
ZZZ 201,RFVXZZZ201
ZZZ 212,RFVXZZZ212
DFD CK02,RFVXDFDCK02
DFD CK04,RFVXDFDCK04
DFD MK04,RFVXDFDMK04
DFD MK06,RFVXDFDMK06
DFD MK08,RFVXDFDMK08
DFD SK06,RFVXDFDSK06
DFD SK08,RFVXDFDSK08
FSCC 2222,RFVXFSCC2222
FSCC 2230,RFVXFSCC2230
FSCC 2234,RFVXFSCC2234
FSCC 2246,RFVXFSCC2246
FSCC 2270,RFVXFSCC2270
FSCC 3030,RFVXFSCC3030
FSCC 3046,RFVXFSCC3046
FSCC 3434,RFVXFSCC3434
FSCC 3446,RFVXFSCC3446
FSCC 4622,RFVXFSCC4622
FSCC 4646,RFVXFSCC3050
FSCD C01,RFVXFSCDC01
FSCD C04,RFVXFSCDC04
FSCD C08,RFVXFSCDC08
FSCD M02,RFVXFSCDM02
FSCD M04,RFVXFSCDM04
FSCD M06,RFVXFSCDM06
FSCD M08,RFVXFSCDM08
FSCD S01,RFVXFSCDS01
FSCD S06,RFVXFSCDS06
FSCH C04,RFVXFSCHC04
FSCH C08,RFVXFSCHC08
FSCH M02,RFVXFSCHM02
FSCH M04,RFVXFSCHM04
FSCH M06,RFVXFSCHM06
FSCH M08,RFVXFSCHM08
FSCH S01,RFVXFSCHS01
FSCH S06,RFVXFSCHS06
FSLC 2222,RFVXFSLC2222
FSLC 2230,RFVXFSLC2230
FSLC 2234,RFVXFSLC2234
FSLC 2246,RFVXFSLC2246
FSLC 2270,RFVXFSLC2270
FSLC 3030,RFVXFSLC3030
FSLC 3046,RFVXFSLC3046
FSLC 3434,RFVXFSLC3434
FSLC 3446,RFVXFSLC3446
FSLC 4622,RFVXFSLC4622
FSLC 4646,RFVXFSLC4646
FSLD C01,RFVXFSLDC01
FSLD C04,RFVXFSLDC04
FSLD C08,RFVXFSLDC08
FSLD M02,RFVXFSLDM02
FSLD M04,RFVXFSLDM04
FSLD M06,RFVXFSLDM06
FSLD M08,RFVXFSLDM08
FSLD S01,RFVXFSLDS01
FSLD S06,RFVXFSLDS06
FSLH C04,RFVXFSLHC04
FSLH C08,RFVXFSLHC08
FSLH M02,RFVXFSLHM02
FSLH M04,RFVXFSLHM04
FSLH M06,RFVXFSLHM06
FSLH M08,RFVXFSLHM08
FSLH S01,RFVXFSLHS01
FSLH S06,RFVXFSLHS06
EDL C08,RFVXEDLC08
EDL M08,RFVXEDLM08
EDL S06,RFVXEDLS06
EDL CK02,RFVXEDLCK02
EDL CK04,RFVXEDLCK04
EDL MK04,RFVXEDLMK04
EDL MK06,RFVXEDLMK06
EDL MK08,RFVXEDLMK08
EDL SK06,RFVXEDLSK06
EDL SK08,RFVXEDLSK08
EDW C01,RFVXEDWC01
EDW C04,RFVXEDWC04
EDW C08,RFVXEDWC08
EDW M02,RFVXEDWM02
EDW M04,RFVXEDWM04
EDW M06,RFVXEDWM06
EDW M08,RFVXEDWM08
EDW S01,RFVXEDWS01
EDW S06,RFVXEDWS06
EDW CK02,RFVXEDWCK02
EDW CK04,RFVXEDWCK04
EDW MK04,RFVXEDWMK04
